,s1,s2,a,r,s_1,s_2
1119,-0.5045322775840759,0.02704141102731228,2.0,-0.1,-0.47663378715515137,0.02789848856627941
1120,-0.47663378715515137,0.02789848856627941,2.0,-0.1,-0.44808638095855713,0.028547415509819984
1121,-0.44808638095855713,0.028547415509819984,2.0,-0.1,-0.41910046339035034,0.028985904529690742
1122,-0.41910046339035034,0.028985904529690742,2.0,1.0347310662309923e-05,-0.3898855447769165,0.029214942827820778
1123,-0.3898855447769165,0.029214942827820778,2.0,0.0006094550281905792,-0.3606467545032501,0.02923877350986004
1124,-0.3606467545032501,0.02923877350986004,2.0,0.0032026565670058116,-0.33158203959465027,0.029064731672406197
1125,-0.33158203959465027,0.029064731672406197,2.0,0.009160900388524646,-0.30287909507751465,0.02870294265449047
1126,-0.30287909507751465,0.02870294265449047,2.0,0.01966600164716855,-0.2747131884098053,0.028165889903903008
1127,-0.2747131884098053,0.028165889903903008,2.0,0.03564379185733618,-0.24724528193473816,0.027467917650938034
1128,-0.24724528193473816,0.027467917650938034,2.0,0.05771885190222319,-0.22062060236930847,0.02662467584013939
1129,-0.22062060236930847,0.02662467584013939,2.0,0.08619154385187137,-0.19496804475784302,0.025652552023530006
1130,-0.19496804475784302,0.025652552023530006,2.0,0.12103645478549531,-0.17039990425109863,0.024568140506744385
1131,-0.17039990425109863,0.024568140506744385,2.0,0.16191939350926332,-0.14701217412948608,0.023387745022773743
1132,-0.14701217412948608,0.023387745022773743,2.0,0.208229324857944,-0.124885194003582,0.022126970812678337
1133,-0.124885194003582,0.022126970812678337,2.0,0.25912049694759914,-0.104084812104702,0.020800385624170303
1134,-0.104084812104702,0.020800385624170303,2.0,0.31356139932962446,-0.08466353267431259,0.019421277567744255
1135,-0.08466353267431259,0.019421277567744255,2.0,0.37038575686021014,-0.06666205078363419,0.018001483753323555
1136,-0.06666205078363419,0.018001483753323555,2.0,0.4283431639361759,-0.05011073872447014,0.016551310196518898
1137,-0.05011073872447014,0.016551310196518898,2.0,0.4861464302571105,-0.03503123298287392,0.015079506672918797
1138,-0.03503123298287392,0.015079506672918797,2.0,0.54251441286348,-0.021437933668494225,0.013593300245702267
1139,-0.021437933668494225,0.013593300245702267,2.0,0.5962091296586396,-0.009339464828372002,0.012098468840122223
1140,-0.009339464828372002,0.012098468840122223,2.0,0.646067000022033,0.0012599852634593844,0.010599450208246708
1141,0.0012599852634593844,0.010599450208246708,2.0,0.6910243113717287,0.010359453037381172,0.009099467657506466
1142,0.010359453037381172,0.009099467657506466,2.0,0.730137339156635,0.01796012744307518,0.007600674871355295
1143,0.01796012744307518,0.007600674871355295,2.0,0.7625977870533984,0.024064430966973305,0.006104303058236837
1144,0.024064430966973305,0.006104303058236837,2.0,0.7877442006215467,0.028675245121121407,0.004610815085470676
1145,0.028675245121121407,0.004610815085470676,2.0,0.8050701888573581,0.031795304268598557,0.003120059845969081
1146,0.031795304268598557,0.003120059845969081,2.0,0.8142299409553031,0.03342672809958458,0.0016314242966473103
1147,0.03342672809958458,0.0016314242966473103,2.0,0.8150416824673903,0.03357071429491043,0.00014398385246749967
1148,0.03357071429491043,0.00014398385246749967,2.0,0.8074893151766299,0.03222736716270447,-0.0013433481799438596
1149,0.03222736716270447,-0.0013433481799438596,2.0,0.7917226125234871,0.029395692050457,-0.002831673016771674
1150,0.029395692050457,-0.002831673016771674,2.0,0.7680558710903898,0.025073735043406487,-0.004321957938373089
1151,0.025073735043406487,-0.004321957938373089,0.0,0.7264682787073395,0.017258845269680023,-0.007814888842403889
1152,0.017258845269680023,-0.007814888842403889,2.0,0.678910009756539,0.007947307080030441,-0.009311538189649582
1153,0.007947307080030441,-0.009311538189649582,2.0,0.6263532636829869,-0.002863520523533225,-0.01081082783639431
1154,-0.002863520523533225,-0.01081082783639431,2.0,0.5698917249635178,-0.015174256637692451,-0.012310735881328583
1155,-0.015174256637692451,-0.012310735881328583,2.0,0.5107207765111,-0.02898240275681019,-0.013808146119117737
1156,-0.02898240275681019,-0.013808146119117737,2.0,0.45011222868003464,-0.04428110271692276,-0.015298701822757721
1157,-0.04428110271692276,-0.015298701822757721,2.0,0.3893830201032452,-0.06105777993798256,-0.01677667535841465
1158,-0.06105777993798256,-0.01677667535841465,2.0,0.32985783960957754,-0.07929263263940811,-0.018234850838780403
1159,-0.07929263263940811,-0.018234850838780403,2.0,0.27282567328316387,-0.09895708411931992,-0.019664451479911804
1160,-0.09895708411931992,-0.019664451479911804,2.0,0.21949135619779955,-0.12001217901706696,-0.02105509303510189
1161,-0.12001217901706696,-0.02105509303510189,2.0,0.1709236845425968,-0.14240698516368866,-0.022394802421331406
1162,-0.14240698516368866,-0.022394802421331406,2.0,0.1280024682157325,-0.16607707738876343,-0.023670105263590813
1163,-0.16607707738876343,-0.023670105263590813,2.0,0.09136766920346569,-0.19094325602054596,-0.024866178631782532
1164,-0.19094325602054596,-0.024866178631782532,2.0,0.06137497048362337,-0.21691036224365234,-0.025967104360461235
1165,-0.21691036224365234,-0.025967104360461235,2.0,0.03806165225507022,-0.24386657774448395,-0.026956208050251007
1166,-0.24386657774448395,-0.026956208050251007,2.0,0.02112769962106518,-0.2716830372810364,-0.027816474437713623
